biological_process_id,biological_process_name,associated_gene_wb_ids,count,splits
GO:0000082,G1/S transition of mitotic cell cycle,"WBGene00000406,WBGene00000409,WBGene00000863,WBGene00000864,WBGene00000865,WBGene00000866,WBGene00000867,WBGene00000868,WBGene00000870,WBGene00000871,WBGene00007047,WBGene00007922,WBGene00011591,WBGene00017259,WBGene00019362,WBGene00019831,WBGene00020461,WBGene00020744",18,none
GO:0000086,G2/M transition of mitotic cell cycle,"WBGene00000386,WBGene00000387,WBGene00000388,WBGene00000389,WBGene00000405,WBGene00004719",6,none
GO:0000095,S-adenosyl-L-methionine transmembrane transporter activity,WBGene00008364,1,none
GO:0000103,sulfate assimilation,WBGene00004091,1,none
GO:0000122,negative regulation of transcription by RNA polymerase II,"WBGene00000220,WBGene00000223,WBGene00000272,WBGene00000439,WBGene00000460,WBGene00000468,WBGene00000476,WBGene00000536,WBGene00000899,WBGene00000901,WBGene00000902,WBGene00000904,WBGene00000908,WBGene00000912,WBGene00000938,WBGene00001092,WBGene00001174,WBGene00001186,WBGene00001207,WBGene00001208,WBGene00001210,WBGene00001249,WBGene00001250,WBGene00001251,WBGene00001253,WBGene00001310,WBGene00001311,WBGene00001345,WBGene00001824,WBGene00001827,WBGene00001834,WBGene00001835,WBGene00001836,WBGene00001837,WBGene00001954,WBGene00001964,WBGene00002245,WBGene00002261,WBGene00002637,WBGene00002990,WBGene00003003,WBGene00003022,WBGene00003025,WBGene00003100,WBGene00003102,WBGene00003106,WBGene00003180,WBGene00003181,WBGene00003182,WBGene00003224,WBGene00003378,WBGene00003406,WBGene00003601,WBGene00003606,WBGene00003607,WBGene00003638,WBGene00003656,WBGene00003659,WBGene00003670,WBGene00003675,WBGene00003845,WBGene00003847,WBGene00003909,WBGene00003968,WBGene00004027,WBGene00004078,WBGene00004117,WBGene00004334,WBGene00004335,WBGene00004745,WBGene00004746,WBGene00004747,WBGene00004764,WBGene00004771,WBGene00004773,WBGene00004786,WBGene00004803,WBGene00004888,WBGene00004949,WBGene00004950,WBGene00006424,WBGene00006434,WBGene00006577,WBGene00006604,WBGene00006699,WBGene00006706,WBGene00006744,WBGene00006773,WBGene00006790,WBGene00006853,WBGene00006873,WBGene00006970,WBGene00007048,WBGene00007413,WBGene00007628,WBGene00007984,WBGene00008081,WBGene00008419,WBGene00008762,WBGene00009479,WBGene00009939,WBGene00010137,WBGene00010936,WBGene00011614,WBGene00011661,WBGene00012578,WBGene00012717,WBGene00013676,WBGene00015981,WBGene00016383,WBGene00016603,WBGene00016905,WBGene00016944,WBGene00017352,WBGene00017699,WBGene00017742,WBGene00019883,WBGene00020320,WBGene00021132,WBGene00023409,WBGene00044072,WBGene00044508,WBGene00044791",123,none
GO:0000132,establishment of mitotic spindle orientation,"WBGene00000092,WBGene00000238,WBGene00000390,WBGene00000415,WBGene00000419,WBGene00000420,WBGene00000421,WBGene00000424,WBGene00000426,WBGene00001017,WBGene00001018,WBGene00001102,WBGene00001188,WBGene00001513,WBGene00001678,WBGene00001679,WBGene00001746,WBGene00001979,WBGene00001980,WBGene00002368,WBGene00003047,WBGene00003209,WBGene00003241,WBGene00003246,WBGene00003377,WBGene00003395,WBGene00003397,WBGene00003787,WBGene00003789,WBGene00003790,WBGene00003797,WBGene00003799,WBGene00003868,WBGene00003917,WBGene00003918,WBGene00003920,WBGene00004732,WBGene00004808,WBGene00005077,WBGene00006295,WBGene00006296,WBGene00006528,WBGene00006529,WBGene00006943,WBGene00008878,WBGene00010572,WBGene00011230,WBGene00013862,WBGene00019935,WBGene00022381",50,none
GO:0000150,DNA strand exchange activity,WBGene00004297,1,none
GO:0000154,rRNA modification,"WBGene00008455,WBGene00012864,WBGene00018866,WBGene00020189",4,none
GO:0000160,phosphorelay signal transduction system,WBGene00001851,1,none
GO:0000165,MAPK cascade,"WBGene00001008,WBGene00001121,WBGene00001468,WBGene00002177,WBGene00002178,WBGene00002201,WBGene00003030,WBGene00003048,WBGene00003185,WBGene00003186,WBGene00003247,WBGene00003368,WBGene00003374,WBGene00003396,WBGene00003401,WBGene00003402,WBGene00003472,WBGene00003822,WBGene00004032,WBGene00004055,WBGene00004056,WBGene00004057,WBGene00004214,WBGene00004758,WBGene00004859,WBGene00006755,WBGene00006779,WBGene00007860,WBGene00007977,WBGene00008200,WBGene00012162,WBGene00013091,WBGene00013132,WBGene00013643,WBGene00013701,WBGene00013705,WBGene00015478,WBGene00017277,WBGene00017672,WBGene00018034,WBGene00018035,WBGene00022603,WBGene00022613,WBGene00304811",44,none
GO:0000179,"rRNA (adenine-N6,N6-)-dimethyltransferase activity","WBGene00008455,WBGene00020189",2,none
GO:0000183,rDNA heterochromatin formation,WBGene00020296,1,none
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","WBGene00003582,WBGene00004879,WBGene00004880,WBGene00004881,WBGene00004882,WBGene00004883,WBGene00004884,WBGene00004885,WBGene00010551,WBGene00012343,WBGene00012904,WBGene00013188,WBGene00015943,WBGene00018156,WBGene00021365,WBGene00021929",16,none
GO:0000209,protein polyubiquitination,"WBGene00000500,WBGene00000838,WBGene00002278,WBGene00002344,WBGene00003009,WBGene00003209,WBGene00003597,WBGene00003898,WBGene00003917,WBGene00006701,WBGene00006702,WBGene00006703,WBGene00006704,WBGene00006705,WBGene00006709,WBGene00006711,WBGene00006713,WBGene00006714,WBGene00006715,WBGene00006716,WBGene00006717,WBGene00006719,WBGene00006720,WBGene00006731,WBGene00006732,WBGene00006734,WBGene00007643,WBGene00008403,WBGene00008429,WBGene00008433,WBGene00009460,WBGene00010923,WBGene00013273,WBGene00016405,WBGene00016903,WBGene00017766,WBGene00018847,WBGene00020235,WBGene00021685,WBGene00022168,WBGene00022450,WBGene00077696,WBGene00219376",43,none
GO:0000212,meiotic spindle organization,"WBGene00000275,WBGene00000386,WBGene00000549,WBGene00001829,WBGene00001830,WBGene00002231,WBGene00003183,WBGene00003184,WBGene00006537,WBGene00006540,WBGene00006994,WBGene00008107",12,none
GO:0000226,microtubule cytoskeleton organization,"WBGene00000189,WBGene00000248,WBGene00000383,WBGene00000491,WBGene00000549,WBGene00000552,WBGene00001007,WBGene00001248,WBGene00001589,WBGene00003171,WBGene00003175,WBGene00003178,WBGene00003183,WBGene00003916,WBGene00003918,WBGene00004952,WBGene00004953,WBGene00004954,WBGene00006515,WBGene00006528,WBGene00006529,WBGene00006530,WBGene00006531,WBGene00006532,WBGene00006533,WBGene00006534,WBGene00006535,WBGene00006536,WBGene00006537,WBGene00006538,WBGene00006539,WBGene00006994,WBGene00007710,WBGene00007966,WBGene00008331,WBGene00008453,WBGene00008887,WBGene00009113,WBGene00009306,WBGene00011145,WBGene00011613,WBGene00013847,WBGene00014232,WBGene00015580,WBGene00016045,WBGene00016154,WBGene00016866,WBGene00017394,WBGene00017981,WBGene00018781,WBGene00019230,WBGene00019352,WBGene00019503,WBGene00021059,WBGene00021697,WBGene00044187,WBGene00044525,WBGene00269435",58,none
GO:0000244,spliceosomal tri-snRNP complex assembly,"WBGene00004187,WBGene00008639,WBGene00013343,WBGene00022458",4,none
GO:0000245,spliceosomal complex assembly,"WBGene00004886,WBGene00004980,WBGene00006697,WBGene00008683,WBGene00011605,WBGene00017002,WBGene00017280,WBGene00019762",8,none
GO:0000266,mitochondrial fission,"WBGene00001093,WBGene00001134,WBGene00001424,WBGene00001425,WBGene00008691,WBGene00012740,WBGene00018894,WBGene00045495,WBGene00077690",9,none
GO:0000271,polysaccharide biosynthetic process,"WBGene00007177,WBGene00008077,WBGene00008475,WBGene00008676,WBGene00008786,WBGene00008906,WBGene00009413,WBGene00009607,WBGene00009609,WBGene00009610,WBGene00010157,WBGene00010171,WBGene00010172,WBGene00010391,WBGene00010392,WBGene00011515,WBGene00011653,WBGene00011654,WBGene00011656,WBGene00011960,WBGene00012068,WBGene00013450,WBGene00015781,WBGene00015873,WBGene00016585,WBGene00016773,WBGene00016776,WBGene00017061,WBGene00018141,WBGene00018142,WBGene00018143,WBGene00018211,WBGene00018295,WBGene00018573,WBGene00019154,WBGene00019579,WBGene00019580,WBGene00019849,WBGene00019851,WBGene00020976,WBGene00020977,WBGene00044088,WBGene00044617",43,none
GO:0000272,polysaccharide catabolic process,"WBGene00000503,WBGene00016084",2,none
GO:0000278,mitotic cell cycle,"WBGene00000248,WBGene00000388,WBGene00000405,WBGene00000413,WBGene00000865,WBGene00000866,WBGene00000867,WBGene00000868,WBGene00000870,WBGene00000871,WBGene00001087,WBGene00001589,WBGene00001651,WBGene00001831,WBGene00001832,WBGene00001865,WBGene00002047,WBGene00002363,WBGene00003086,WBGene00003171,WBGene00003175,WBGene00004214,WBGene00004816,WBGene00004828,WBGene00006293,WBGene00006294,WBGene00006295,WBGene00006296,WBGene00006297,WBGene00006298,WBGene00006299,WBGene00006300,WBGene00006301,WBGene00006302,WBGene00006304,WBGene00006528,WBGene00006529,WBGene00006530,WBGene00006531,WBGene00006532,WBGene00006533,WBGene00006534,WBGene00006535,WBGene00006536,WBGene00006537,WBGene00006538,WBGene00006539,WBGene00006540,WBGene00006988,WBGene00007258,WBGene00007309,WBGene00008107,WBGene00008921,WBGene00009368,WBGene00012159,WBGene00012981,WBGene00013725,WBGene00015534,WBGene00016137,WBGene00017643,WBGene00021214,WBGene00022228,WBGene00022670,WBGene00044501,WBGene00235269",65,none
GO:0000280,nuclear division,"WBGene00000275,WBGene00001597,WBGene00004775,WBGene00022741",4,none
GO:0000281,mitotic cytokinesis,"WBGene00000063,WBGene00000064,WBGene00000065,WBGene00000066,WBGene00000249,WBGene00000250,WBGene00000383,WBGene00000465,WBGene00000549,WBGene00000804,WBGene00000815,WBGene00000875,WBGene00001309,WBGene00001358,WBGene00001597,WBGene00002047,WBGene00002068,WBGene00002180,WBGene00002275,WBGene00002297,WBGene00002694,WBGene00003150,WBGene00003372,WBGene00003777,WBGene00004217,WBGene00004274,WBGene00004775,WBGene00006754,WBGene00007010,WBGene00007409,WBGene00010556,WBGene00011734,WBGene00012835,WBGene00013028,WBGene00013038,WBGene00015102,WBGene00016397,WBGene00017774,WBGene00019608",39,none
GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","WBGene00000369,WBGene00000940,WBGene00002845,WBGene00010923,WBGene00011268,WBGene00014015",6,none
GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening,"WBGene00000369,WBGene00000376,WBGene00002845,WBGene00003826,WBGene00006499,WBGene00010734,WBGene00014015,WBGene00017951",8,none
GO:0000290,deadenylation-dependent decapping of nuclear-transcribed mRNA,"WBGene00000940,WBGene00003076,WBGene00003582,WBGene00009661,WBGene00021929",5,none
GO:0000295,adenine nucleotide transmembrane transporter activity,WBGene00010485,1,none
GO:0000301,"retrograde transport, vesicle recycling within Golgi",WBGene00011975,1,none
GO:0000302,response to reactive oxygen species,"WBGene00001527,WBGene00001780,WBGene00001792,WBGene00004055,WBGene00004758,WBGene00007516,WBGene00012315,WBGene00020511",8,none
GO:0000303,response to superoxide,"WBGene00001134,WBGene00001486,WBGene00001527,WBGene00004055,WBGene00004758,WBGene00004804,WBGene00008117,WBGene00016204,WBGene00044305",9,none
GO:0000338,protein deneddylation,"WBGene00000814,WBGene00000817,WBGene00006721,WBGene00006722,WBGene00006723,WBGene00006738,WBGene00019543",7,none
GO:0000349,generation of catalytic spliceosome for first transesterification step,"WBGene00016837,WBGene00018149",2,none
GO:0000350,generation of catalytic spliceosome for second transesterification step,"WBGene00009320,WBGene00009966",2,none
GO:0000366,mRNA alternative trans-splicing,"WBGene00001484,WBGene00006962",2,none
GO:0000375,"RNA splicing, via transesterification reactions",WBGene00000937,1,none
GO:0000379,tRNA-type intron splice site recognition and cleavage,"WBGene00013231,WBGene00018680",2,none
GO:0000380,"alternative mRNA splicing, via spliceosome","WBGene00004389,WBGene00004700,WBGene00006321,WBGene00010233,WBGene00010260,WBGene00012769,WBGene00013808,WBGene00017620,WBGene00020647",9,none
GO:0000381,"regulation of alternative mRNA splicing, via spliceosome","WBGene00001340,WBGene00001368,WBGene00001484,WBGene00004389,WBGene00004424,WBGene00004701,WBGene00004786,WBGene00004895,WBGene00004896,WBGene00004984,WBGene00006321,WBGene00006423,WBGene00006807,WBGene00007534,WBGene00007627,WBGene00008061,WBGene00009671,WBGene00011279,WBGene00012245,WBGene00012558,WBGene00013347,WBGene00015557,WBGene00016489,WBGene00017098,WBGene00019692,WBGene00020091,WBGene00022737,WBGene00022738",28,none
GO:0000387,spliceosomal snRNP assembly,"WBGene00002046,WBGene00003078,WBGene00004886,WBGene00004914,WBGene00004916,WBGene00004917,WBGene00004919,WBGene00007702,WBGene00017002,WBGene00017238,WBGene00017357,WBGene00020284,WBGene00044916",13,none
GO:0000388,spliceosome conformational change to release U4 (or U4atac) and U1 (or U11),WBGene00012896,1,none
GO:0000389,mRNA 3'-splice site recognition,"WBGene00003390,WBGene00006697,WBGene00009966",3,none
GO:0000390,spliceosomal complex disassembly,"WBGene00001040,WBGene00007412,WBGene00009672",3,none
GO:0000395,mRNA 5'-splice site recognition,"WBGene00006359,WBGene00017238,WBGene00017768",3,none
GO:0000398,"mRNA splicing, via spliceosome","WBGene00000888,WBGene00000937,WBGene00001166,WBGene00001258,WBGene00001808,WBGene00001840,WBGene00001999,WBGene00002957,WBGene00003077,WBGene00003078,WBGene00003079,WBGene00003080,WBGene00003082,WBGene00003389,WBGene00003390,WBGene00003391,WBGene00003393,WBGene00003992,WBGene00004016,WBGene00004187,WBGene00004207,WBGene00004385,WBGene00004386,WBGene00004388,WBGene00004390,WBGene00004698,WBGene00004699,WBGene00004701,WBGene00004702,WBGene00004703,WBGene00004704,WBGene00004705,WBGene00004723,WBGene00004806,WBGene00004895,WBGene00004896,WBGene00004915,WBGene00004918,WBGene00004919,WBGene00004920,WBGene00006481,WBGene00006698,WBGene00006726,WBGene00007400,WBGene00007972,WBGene00008061,WBGene00008380,WBGene00008386,WBGene00009141,WBGene00009671,WBGene00009672,WBGene00010159,WBGene00010629,WBGene00010844,WBGene00010896,WBGene00011142,WBGene00011237,WBGene00011687,WBGene00011758,WBGene00011969,WBGene00012230,WBGene00012896,WBGene00013343,WBGene00013347,WBGene00013808,WBGene00014218,WBGene00014250,WBGene00015156,WBGene00016245,WBGene00016837,WBGene00017162,WBGene00017238,WBGene00017534,WBGene00017605,WBGene00018007,WBGene00018014,WBGene00018149,WBGene00018625,WBGene00018776,WBGene00019245,WBGene00019323,WBGene00019762,WBGene00019881,WBGene00020346,WBGene00020423,WBGene00021004,WBGene00021877,WBGene00021901,WBGene00022029,WBGene00022235,WBGene00022388,WBGene00022434,WBGene00022458,WBGene00022737,WBGene00022794,WBGene00235102",96,none
GO:0000413,protein peptidyl-prolyl isomerization,"WBGene00000877,WBGene00000878,WBGene00000879,WBGene00000880,WBGene00000881,WBGene00000882,WBGene00000883,WBGene00000884,WBGene00000885,WBGene00000886,WBGene00000887,WBGene00000888,WBGene00000889,WBGene00000890,WBGene00000891,WBGene00000892,WBGene00001426,WBGene00021201,WBGene00044705,WBGene00045306",20,none
GO:0000422,autophagy of mitochondrion,"WBGene00002982,WBGene00011528,WBGene00012641,WBGene00017137,WBGene00018294,WBGene00019748,WBGene00020334,WBGene00021922",8,none
GO:0000423,mitophagy,"WBGene00000247,WBGene00000423,WBGene00002980,WBGene00002981,WBGene00003967,WBGene00004015,WBGene00006786,WBGene00010882,WBGene00011528,WBGene00011737,WBGene00012067,WBGene00012516,WBGene00013595,WBGene00013643,WBGene00013695,WBGene00013859,WBGene00014080,WBGene00015552,WBGene00015776,WBGene00017045,WBGene00017137,WBGene00019301,WBGene00020324,WBGene00020706,WBGene00021495,WBGene00022152,WBGene00269434",27,none
GO:0000425,pexophagy,"WBGene00006932,WBGene00012641,WBGene00014151,WBGene00018294,WBGene00019748,WBGene00020334",6,none
GO:0000447,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","WBGene00004490,WBGene00007617,WBGene00010044,WBGene00014078,WBGene00019005",5,none
GO:0000448,"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",WBGene00010709,1,none
GO:0000454,snoRNA guided rRNA pseudouridine synthesis,WBGene00022046,1,none
GO:0000455,enzyme-directed rRNA pseudouridine synthesis,"WBGene00018679,WBGene00019498",2,none
GO:0000460,maturation of 5.8S rRNA,"WBGene00001234,WBGene00009711,WBGene00012342,WBGene00012351,WBGene00012393,WBGene00015811,WBGene00017916,WBGene00018762,WBGene00021785",9,none
GO:0000461,"endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",WBGene00004490,1,none
GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","WBGene00003059,WBGene00004477,WBGene00004485,WBGene00006497,WBGene00009211,WBGene00010582,WBGene00011311,WBGene00012756,WBGene00013109,WBGene00015525,WBGene00017989,WBGene00018891,WBGene00020389,WBGene00020705,WBGene00022021,WBGene00022739,WBGene00022742",17,none
GO:0000463,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","WBGene00003062,WBGene00003063,WBGene00004418,WBGene00004449,WBGene00006489,WBGene00008688,WBGene00012978,WBGene00015232,WBGene00018893,WBGene00019168,WBGene00021830",11,none
GO:0000466,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","WBGene00003063,WBGene00012978,WBGene00018893,WBGene00019168",4,none
GO:0000467,"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","WBGene00000796,WBGene00000797,WBGene00001332,WBGene00009289,WBGene00010325,WBGene00018154,WBGene00018305,WBGene00022232",8,none
GO:0000470,maturation of LSU-rRNA,"WBGene00001234,WBGene00004419,WBGene00007312,WBGene00009711,WBGene00012351,WBGene00012393,WBGene00015811,WBGene00018762,WBGene00021073,WBGene00021830",10,none
GO:0000472,"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","WBGene00013143,WBGene00014078,WBGene00019005",3,none
GO:0000479,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","WBGene00006497,WBGene00022021,WBGene00022852",3,none
GO:0000480,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","WBGene00013143,WBGene00014078,WBGene00019005",3,none
GO:0000481,maturation of 5S rRNA,WBGene00017605,1,none
GO:0000492,box C/D snoRNP assembly,"WBGene00002583,WBGene00006489,WBGene00007784,WBGene00009329,WBGene00020687",5,none
GO:0000493,box H/ACA snoRNP assembly,"WBGene00009132,WBGene00021655",2,none
GO:0000494,box C/D sno(s)RNA 3'-end processing,WBGene00001423,1,none
GO:0000495,box H/ACA sno(s)RNA 3'-end processing,WBGene00010478,1,none
GO:0000578,embryonic axis specification,"WBGene00000293,WBGene00001678",2,none
GO:0000706,meiotic DNA double-strand break processing,"WBGene00004985,WBGene00011415,WBGene00018909",3,none
GO:0000707,meiotic DNA recombinase assembly,WBGene00020316,1,none
GO:0000712,resolution of meiotic recombination intermediates,"WBGene00001865,WBGene00001872,WBGene00001874,WBGene00002276,WBGene00004342,WBGene00008140,WBGene00010785,WBGene00011415,WBGene00011576,WBGene00013014,WBGene00016602,WBGene00018070,WBGene00018909,WBGene00018923,WBGene00019712,WBGene00019884,WBGene00021905,WBGene00022854",18,none
GO:0000715,"nucleotide-excision repair, DNA damage recognition",WBGene00006963,1,none
GO:0000722,telomere maintenance via recombination,WBGene00004296,1,none
GO:0000723,telomere maintenance,"WBGene00000226,WBGene00000458,WBGene00000519,WBGene00000520,WBGene00000537,WBGene00001049,WBGene00002042,WBGene00003405,WBGene00003417,WBGene00004028,WBGene00004296,WBGene00004342,WBGene00006618,WBGene00006944,WBGene00007523,WBGene00008710,WBGene00008958,WBGene00010195,WBGene00013816,WBGene00015105,WBGene00045237,WBGene00050934",22,none
GO:0000724,double-strand break repair via homologous recombination,"WBGene00000264,WBGene00001865,WBGene00002042,WBGene00002276,WBGene00003405,WBGene00004085,WBGene00004086,WBGene00004297,WBGene00004322,WBGene00004342,WBGene00006944,WBGene00007029,WBGene00007694,WBGene00008140,WBGene00009441,WBGene00010056,WBGene00011576,WBGene00012698,WBGene00013792,WBGene00015554,WBGene00016151,WBGene00016602,WBGene00017005,WBGene00017546,WBGene00018909,WBGene00019079,WBGene00019334,WBGene00019712,WBGene00019767,WBGene00019858,WBGene00019859,WBGene00020316,WBGene00020442,WBGene00020843,WBGene00021344,WBGene00022492,WBGene00022881",37,none
GO:0000727,double-strand break repair via break-induced replication,"WBGene00003154,WBGene00003155,WBGene00003156,WBGene00003157,WBGene00003158,WBGene00003159,WBGene00009287,WBGene00009372,WBGene00013768,WBGene00016602,WBGene00018923",11,none
GO:0000729,DNA double-strand break processing,WBGene00010845,1,none
GO:0000730,DNA recombinase assembly,"WBGene00004297,WBGene00004342",2,none
GO:0000768,syncytium formation by plasma membrane fusion,"WBGene00001159,WBGene00002049,WBGene00016625,WBGene00023420",4,none
GO:0000819,sister chromatid segregation,"WBGene00010785,WBGene00019884,WBGene00022854",3,none
GO:0000900,mRNA regulatory element binding translation repressor activity,"WBGene00000770,WBGene00000771,WBGene00000772,WBGene00001481,WBGene00003366,WBGene00003864,WBGene00003865",7,none
GO:0000902,cell morphogenesis,"WBGene00000293,WBGene00000294,WBGene00001193,WBGene00001366,WBGene00001579,WBGene00001580,WBGene00003242,WBGene00004728,WBGene00006476,WBGene00015975,WBGene00017421,WBGene00018787,WBGene00021396,WBGene00021950",14,none
GO:0000915,actomyosin contractile ring assembly,"WBGene00004357,WBGene00007409,WBGene00012835,WBGene00013038,WBGene00019608",5,none
GO:0000956,nuclear-transcribed mRNA catabolic process,"WBGene00001050,WBGene00002285,WBGene00002845,WBGene00002993,WBGene00004880,WBGene00006964,WBGene00008561,WBGene00008990,WBGene00010325,WBGene00010821,WBGene00010822,WBGene00010825,WBGene00012730,WBGene00012959,WBGene00012960,WBGene00012961,WBGene00015007,WBGene00015547,WBGene00017347,WBGene00017356,WBGene00018612,WBGene00021365,WBGene00021613,WBGene00021845,WBGene00022232,WBGene00045308,WBGene00045401",27,none
GO:0000958,mitochondrial mRNA catabolic process,WBGene00015266,1,none
GO:0000963,mitochondrial RNA processing,WBGene00007207,1,none
GO:0000965,mitochondrial RNA 3'-end processing,"WBGene00007444,WBGene00015266",2,none
GO:0000972,transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery,"WBGene00003794,WBGene00003801,WBGene00003803",3,none
GO:0000973,post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery,"WBGene00003791,WBGene00003796,WBGene00016171",3,none
